id,trait_id_json
14391,"{""body"":493,""background"":502,""ear"":506,""nose"":513,""eye"":517,""eyebrow"":523,""medal"":528,""necklaces"":531,""top"":538,""front face"":548,""arms"":552,""accessories"":561,""back"":570,""side face"":576}"
14392,"{""body"":491,""background"":500,""ear"":507,""nose"":515,""eye"":517,""eyebrow"":523,""medal"":526,""necklaces"":533,""top"":536,""front face"":548,""arms"":556,""accessories"":563,""back"":572,""side face"":578}"
14393,"{""body"":491,""background"":498,""ear"":508,""nose"":512,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":531,""top"":539,""front face"":545,""arms"":557,""accessories"":563,""back"":573,""side face"":576}"
14394,"{""body"":494,""background"":500,""ear"":508,""nose"":512,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":532,""top"":540,""front face"":545,""arms"":550,""accessories"":560,""back"":568,""side face"":576}"
14395,"{""body"":492,""background"":502,""ear"":509,""nose"":513,""eye"":518,""eyebrow"":523,""medal"":526,""necklaces"":530,""top"":537,""front face"":546,""arms"":556,""accessories"":565,""back"":572,""side face"":575}"
14396,"{""body"":492,""background"":497,""ear"":508,""nose"":513,""eye"":518,""eyebrow"":522,""medal"":526,""necklaces"":531,""top"":537,""front face"":549,""arms"":552,""accessories"":565,""back"":571,""side face"":574}"
14397,"{""body"":494,""background"":500,""ear"":508,""nose"":515,""eye"":518,""eyebrow"":520,""medal"":525,""necklaces"":533,""top"":540,""front face"":549,""arms"":554,""accessories"":559,""back"":570,""side face"":576}"
14398,"{""body"":493,""background"":499,""ear"":506,""nose"":515,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":532,""top"":541,""front face"":543,""arms"":555,""accessories"":558,""back"":571,""side face"":576}"
14399,"{""body"":493,""background"":499,""ear"":509,""nose"":513,""eye"":517,""eyebrow"":523,""medal"":527,""necklaces"":530,""top"":540,""front face"":544,""arms"":550,""accessories"":560,""back"":570,""side face"":577}"
14400,"{""body"":491,""background"":498,""ear"":507,""nose"":512,""eye"":517,""eyebrow"":519,""medal"":524,""necklaces"":533,""top"":541,""front face"":547,""arms"":557,""accessories"":561,""back"":569,""side face"":576}"
14401,"{""body"":491,""background"":500,""ear"":510,""nose"":512,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":532,""top"":536,""front face"":549,""arms"":555,""accessories"":565,""back"":571,""side face"":578}"
14402,"{""body"":494,""background"":500,""ear"":506,""nose"":514,""eye"":517,""eyebrow"":523,""medal"":528,""necklaces"":533,""top"":536,""front face"":546,""arms"":555,""accessories"":565,""back"":572,""side face"":576}"
14403,"{""body"":491,""background"":500,""ear"":506,""nose"":515,""eye"":518,""eyebrow"":521,""medal"":527,""necklaces"":532,""top"":538,""front face"":543,""arms"":556,""accessories"":560,""back"":570,""side face"":577}"
14404,"{""body"":492,""background"":502,""ear"":505,""nose"":514,""eye"":516,""eyebrow"":522,""medal"":527,""necklaces"":530,""top"":536,""front face"":544,""arms"":550,""accessories"":561,""back"":571,""side face"":575}"
14405,"{""body"":491,""background"":497,""ear"":510,""nose"":515,""eye"":518,""eyebrow"":522,""medal"":525,""necklaces"":532,""top"":534,""front face"":547,""arms"":555,""accessories"":562,""back"":572,""side face"":578}"
14406,"{""body"":494,""background"":501,""ear"":505,""nose"":514,""eye"":516,""eyebrow"":522,""medal"":526,""necklaces"":531,""top"":537,""front face"":546,""arms"":557,""accessories"":562,""back"":572,""side face"":575}"
14407,"{""body"":492,""background"":502,""ear"":509,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":530,""top"":540,""front face"":549,""arms"":555,""accessories"":565,""back"":568,""side face"":577}"
14408,"{""body"":493,""background"":498,""ear"":505,""nose"":512,""eye"":518,""eyebrow"":521,""medal"":527,""necklaces"":530,""top"":537,""front face"":543,""arms"":555,""accessories"":565,""back"":569,""side face"":574}"
14409,"{""body"":491,""background"":502,""ear"":505,""nose"":512,""eye"":517,""eyebrow"":520,""medal"":528,""necklaces"":530,""top"":541,""front face"":546,""arms"":556,""accessories"":564,""back"":572,""side face"":576}"
14410,"{""body"":494,""background"":500,""ear"":505,""nose"":515,""eye"":517,""eyebrow"":523,""medal"":527,""necklaces"":531,""top"":538,""front face"":547,""arms"":552,""accessories"":565,""back"":568,""side face"":576}"
14411,"{""body"":494,""background"":496,""ear"":510,""nose"":511,""eye"":518,""eyebrow"":520,""medal"":525,""necklaces"":531,""top"":540,""front face"":547,""arms"":554,""accessories"":565,""back"":573,""side face"":577}"
14412,"{""body"":492,""background"":502,""ear"":506,""nose"":515,""eye"":518,""eyebrow"":521,""medal"":528,""necklaces"":531,""top"":538,""front face"":549,""arms"":557,""accessories"":560,""back"":570,""side face"":576}"
14413,"{""body"":493,""background"":502,""ear"":509,""nose"":515,""eye"":517,""eyebrow"":523,""medal"":526,""necklaces"":531,""top"":541,""front face"":544,""arms"":551,""accessories"":565,""back"":568,""side face"":574}"
14414,"{""body"":493,""background"":496,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":523,""medal"":527,""necklaces"":529,""top"":538,""front face"":548,""arms"":557,""accessories"":562,""back"":571,""side face"":576}"
14415,"{""body"":492,""background"":502,""ear"":508,""nose"":513,""eye"":516,""eyebrow"":523,""medal"":524,""necklaces"":532,""top"":540,""front face"":549,""arms"":554,""accessories"":565,""back"":573,""side face"":578}"
14416,"{""body"":494,""background"":498,""ear"":510,""nose"":511,""eye"":518,""eyebrow"":519,""medal"":526,""necklaces"":532,""top"":541,""front face"":544,""arms"":557,""accessories"":563,""back"":571,""side face"":577}"
14417,"{""body"":491,""background"":501,""ear"":506,""nose"":513,""eye"":518,""eyebrow"":523,""medal"":526,""necklaces"":533,""top"":541,""front face"":545,""arms"":554,""accessories"":563,""back"":573,""side face"":575}"
14418,"{""body"":494,""background"":500,""ear"":508,""nose"":512,""eye"":517,""eyebrow"":519,""medal"":528,""necklaces"":533,""top"":539,""front face"":549,""arms"":557,""accessories"":562,""back"":570,""side face"":575}"
14419,"{""body"":493,""background"":498,""ear"":508,""nose"":512,""eye"":518,""eyebrow"":523,""medal"":526,""necklaces"":531,""top"":540,""front face"":549,""arms"":551,""accessories"":558,""back"":566,""side face"":578}"
14420,"{""body"":493,""background"":502,""ear"":507,""nose"":514,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":531,""top"":538,""front face"":549,""arms"":554,""accessories"":561,""back"":566,""side face"":575}"
14421,"{""body"":492,""background"":502,""ear"":510,""nose"":515,""eye"":518,""eyebrow"":521,""medal"":525,""necklaces"":531,""top"":541,""front face"":542,""arms"":553,""accessories"":560,""back"":569,""side face"":578}"
14422,"{""body"":492,""background"":501,""ear"":505,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":527,""necklaces"":531,""top"":534,""front face"":546,""arms"":553,""accessories"":564,""back"":570,""side face"":578}"
14423,"{""body"":494,""background"":501,""ear"":510,""nose"":514,""eye"":516,""eyebrow"":520,""medal"":525,""necklaces"":530,""top"":537,""front face"":543,""arms"":552,""accessories"":563,""back"":569,""side face"":576}"
14424,"{""body"":493,""background"":499,""ear"":510,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":527,""necklaces"":532,""top"":540,""front face"":545,""arms"":552,""accessories"":562,""back"":570,""side face"":576}"
14425,"{""body"":491,""background"":500,""ear"":505,""nose"":515,""eye"":516,""eyebrow"":523,""medal"":525,""necklaces"":532,""top"":540,""front face"":545,""arms"":552,""accessories"":561,""back"":567,""side face"":576}"
14426,"{""body"":494,""background"":498,""ear"":509,""nose"":515,""eye"":517,""eyebrow"":522,""medal"":526,""necklaces"":533,""top"":541,""front face"":547,""arms"":553,""accessories"":565,""back"":570,""side face"":574}"
14427,"{""body"":494,""background"":502,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":523,""medal"":527,""necklaces"":532,""top"":538,""front face"":548,""arms"":557,""accessories"":564,""back"":571,""side face"":577}"
14428,"{""body"":491,""background"":497,""ear"":507,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":532,""top"":539,""front face"":549,""arms"":554,""accessories"":565,""back"":573,""side face"":577}"
14429,"{""body"":493,""background"":502,""ear"":510,""nose"":511,""eye"":517,""eyebrow"":522,""medal"":526,""necklaces"":532,""top"":541,""front face"":545,""arms"":555,""accessories"":564,""back"":566,""side face"":578}"
14430,"{""body"":491,""background"":501,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":533,""top"":541,""front face"":548,""arms"":555,""accessories"":564,""back"":570,""side face"":576}"
14431,"{""body"":493,""background"":499,""ear"":507,""nose"":515,""eye"":517,""eyebrow"":520,""medal"":528,""necklaces"":530,""top"":539,""front face"":548,""arms"":554,""accessories"":564,""back"":569,""side face"":576}"
14432,"{""body"":491,""background"":497,""ear"":504,""nose"":513,""eye"":517,""eyebrow"":522,""medal"":528,""necklaces"":532,""top"":536,""front face"":544,""arms"":554,""accessories"":562,""back"":570,""side face"":578}"
14433,"{""body"":491,""background"":499,""ear"":507,""nose"":512,""eye"":518,""eyebrow"":520,""medal"":527,""necklaces"":533,""top"":535,""front face"":545,""arms"":553,""accessories"":562,""back"":572,""side face"":577}"
14434,"{""body"":493,""background"":502,""ear"":504,""nose"":514,""eye"":516,""eyebrow"":521,""medal"":526,""necklaces"":533,""top"":538,""front face"":546,""arms"":553,""accessories"":564,""back"":571,""side face"":578}"
14435,"{""body"":493,""background"":499,""ear"":510,""nose"":513,""eye"":518,""eyebrow"":521,""medal"":527,""necklaces"":532,""top"":537,""front face"":547,""arms"":556,""accessories"":564,""back"":572,""side face"":578}"
14436,"{""body"":494,""background"":496,""ear"":510,""nose"":513,""eye"":516,""eyebrow"":523,""medal"":528,""necklaces"":533,""top"":538,""front face"":545,""arms"":556,""accessories"":565,""back"":571,""side face"":578}"
14437,"{""body"":494,""background"":500,""ear"":509,""nose"":514,""eye"":517,""eyebrow"":521,""medal"":526,""necklaces"":531,""top"":541,""front face"":547,""arms"":557,""accessories"":561,""back"":571,""side face"":577}"
14438,"{""body"":493,""background"":499,""ear"":506,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":533,""top"":539,""front face"":546,""arms"":551,""accessories"":559,""back"":570,""side face"":576}"
14439,"{""body"":494,""background"":496,""ear"":507,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":533,""top"":540,""front face"":548,""arms"":557,""accessories"":564,""back"":572,""side face"":576}"
14440,"{""body"":494,""background"":502,""ear"":510,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":526,""necklaces"":533,""top"":538,""front face"":547,""arms"":556,""accessories"":562,""back"":571,""side face"":576}"
14441,"{""body"":494,""background"":499,""ear"":507,""nose"":513,""eye"":518,""eyebrow"":521,""medal"":526,""necklaces"":533,""top"":536,""front face"":543,""arms"":554,""accessories"":563,""back"":570,""side face"":578}"
14442,"{""body"":492,""background"":501,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":521,""medal"":526,""necklaces"":531,""top"":539,""front face"":546,""arms"":557,""accessories"":564,""back"":573,""side face"":576}"
14443,"{""body"":493,""background"":501,""ear"":505,""nose"":514,""eye"":518,""eyebrow"":521,""medal"":528,""necklaces"":530,""top"":538,""front face"":546,""arms"":556,""accessories"":565,""back"":573,""side face"":578}"
14444,"{""body"":494,""background"":500,""ear"":507,""nose"":514,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":533,""top"":538,""front face"":543,""arms"":550,""accessories"":560,""back"":567,""side face"":577}"
14445,"{""body"":494,""background"":499,""ear"":508,""nose"":515,""eye"":518,""eyebrow"":522,""medal"":524,""necklaces"":530,""top"":540,""front face"":548,""arms"":551,""accessories"":564,""back"":573,""side face"":577}"
14446,"{""body"":494,""background"":499,""ear"":509,""nose"":515,""eye"":518,""eyebrow"":520,""medal"":528,""necklaces"":532,""top"":539,""front face"":549,""arms"":554,""accessories"":561,""back"":573,""side face"":576}"
14447,"{""body"":493,""background"":497,""ear"":506,""nose"":513,""eye"":516,""eyebrow"":523,""medal"":525,""necklaces"":530,""top"":538,""front face"":545,""arms"":551,""accessories"":563,""back"":570,""side face"":578}"
14448,"{""body"":493,""background"":500,""ear"":508,""nose"":515,""eye"":517,""eyebrow"":523,""medal"":527,""necklaces"":531,""top"":539,""front face"":548,""arms"":555,""accessories"":565,""back"":570,""side face"":577}"
14449,"{""body"":492,""background"":496,""ear"":507,""nose"":515,""eye"":517,""eyebrow"":521,""medal"":527,""necklaces"":530,""top"":536,""front face"":545,""arms"":555,""accessories"":565,""back"":572,""side face"":574}"
14450,"{""body"":491,""background"":497,""ear"":506,""nose"":515,""eye"":517,""eyebrow"":523,""medal"":527,""necklaces"":532,""top"":536,""front face"":547,""arms"":551,""accessories"":565,""back"":571,""side face"":576}"
14451,"{""body"":494,""background"":500,""ear"":507,""nose"":513,""eye"":518,""eyebrow"":521,""medal"":526,""necklaces"":529,""top"":536,""front face"":546,""arms"":555,""accessories"":564,""back"":567,""side face"":576}"
14452,"{""body"":492,""background"":500,""ear"":508,""nose"":514,""eye"":518,""eyebrow"":523,""medal"":525,""necklaces"":533,""top"":541,""front face"":549,""arms"":553,""accessories"":564,""back"":570,""side face"":574}"
14453,"{""body"":493,""background"":497,""ear"":507,""nose"":513,""eye"":518,""eyebrow"":522,""medal"":528,""necklaces"":531,""top"":539,""front face"":546,""arms"":553,""accessories"":565,""back"":573,""side face"":577}"
14454,"{""body"":491,""background"":500,""ear"":508,""nose"":511,""eye"":518,""eyebrow"":522,""medal"":528,""necklaces"":531,""top"":538,""front face"":548,""arms"":555,""accessories"":565,""back"":569,""side face"":576}"
14455,"{""body"":491,""background"":501,""ear"":510,""nose"":515,""eye"":518,""eyebrow"":519,""medal"":528,""necklaces"":533,""top"":536,""front face"":549,""arms"":555,""accessories"":563,""back"":572,""side face"":576}"
14456,"{""body"":491,""background"":502,""ear"":509,""nose"":515,""eye"":518,""eyebrow"":519,""medal"":525,""necklaces"":531,""top"":540,""front face"":543,""arms"":556,""accessories"":563,""back"":570,""side face"":576}"
14457,"{""body"":493,""background"":502,""ear"":509,""nose"":513,""eye"":518,""eyebrow"":519,""medal"":525,""necklaces"":533,""top"":539,""front face"":545,""arms"":554,""accessories"":564,""back"":572,""side face"":574}"
14458,"{""body"":494,""background"":501,""ear"":510,""nose"":514,""eye"":517,""eyebrow"":522,""medal"":527,""necklaces"":529,""top"":540,""front face"":542,""arms"":557,""accessories"":565,""back"":566,""side face"":576}"
14459,"{""body"":492,""background"":502,""ear"":509,""nose"":514,""eye"":517,""eyebrow"":521,""medal"":525,""necklaces"":531,""top"":536,""front face"":543,""arms"":557,""accessories"":565,""back"":568,""side face"":578}"
14460,"{""body"":494,""background"":502,""ear"":508,""nose"":513,""eye"":518,""eyebrow"":521,""medal"":526,""necklaces"":532,""top"":537,""front face"":548,""arms"":557,""accessories"":561,""back"":572,""side face"":577}"
14461,"{""body"":494,""background"":500,""ear"":508,""nose"":511,""eye"":518,""eyebrow"":520,""medal"":527,""necklaces"":530,""top"":537,""front face"":548,""arms"":556,""accessories"":559,""back"":572,""side face"":578}"
14462,"{""body"":494,""background"":501,""ear"":504,""nose"":515,""eye"":517,""eyebrow"":522,""medal"":527,""necklaces"":531,""top"":540,""front face"":547,""arms"":556,""accessories"":562,""back"":569,""side face"":578}"
14463,"{""body"":493,""background"":498,""ear"":505,""nose"":513,""eye"":518,""eyebrow"":522,""medal"":526,""necklaces"":529,""top"":538,""front face"":542,""arms"":556,""accessories"":564,""back"":567,""side face"":577}"
14464,"{""body"":491,""background"":500,""ear"":510,""nose"":512,""eye"":516,""eyebrow"":521,""medal"":527,""necklaces"":532,""top"":539,""front face"":548,""arms"":555,""accessories"":563,""back"":568,""side face"":577}"
14465,"{""body"":494,""background"":501,""ear"":508,""nose"":515,""eye"":516,""eyebrow"":520,""medal"":528,""necklaces"":531,""top"":535,""front face"":547,""arms"":556,""accessories"":564,""back"":568,""side face"":575}"
14466,"{""body"":493,""background"":501,""ear"":510,""nose"":512,""eye"":516,""eyebrow"":520,""medal"":528,""necklaces"":533,""top"":540,""front face"":549,""arms"":556,""accessories"":565,""back"":568,""side face"":578}"
14467,"{""body"":494,""background"":497,""ear"":507,""nose"":514,""eye"":517,""eyebrow"":523,""medal"":527,""necklaces"":532,""top"":541,""front face"":542,""arms"":557,""accessories"":563,""back"":572,""side face"":577}"
14468,"{""body"":493,""background"":502,""ear"":508,""nose"":514,""eye"":516,""eyebrow"":520,""medal"":525,""necklaces"":533,""top"":536,""front face"":549,""arms"":554,""accessories"":565,""back"":573,""side face"":577}"
14469,"{""body"":491,""background"":501,""ear"":503,""nose"":515,""eye"":518,""eyebrow"":522,""medal"":525,""necklaces"":533,""top"":537,""front face"":546,""arms"":556,""accessories"":563,""back"":569,""side face"":576}"
14470,"{""body"":494,""background"":497,""ear"":510,""nose"":513,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":532,""top"":536,""front face"":545,""arms"":556,""accessories"":561,""back"":570,""side face"":577}"
14471,"{""body"":493,""background"":501,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":530,""top"":540,""front face"":545,""arms"":557,""accessories"":564,""back"":568,""side face"":577}"
14472,"{""body"":494,""background"":496,""ear"":508,""nose"":512,""eye"":517,""eyebrow"":523,""medal"":526,""necklaces"":531,""top"":540,""front face"":547,""arms"":556,""accessories"":561,""back"":572,""side face"":578}"
14473,"{""body"":493,""background"":500,""ear"":508,""nose"":515,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":533,""top"":539,""front face"":549,""arms"":551,""accessories"":561,""back"":572,""side face"":575}"
14474,"{""body"":494,""background"":499,""ear"":509,""nose"":515,""eye"":516,""eyebrow"":523,""medal"":528,""necklaces"":533,""top"":536,""front face"":547,""arms"":554,""accessories"":561,""back"":569,""side face"":576}"
14475,"{""body"":493,""background"":496,""ear"":509,""nose"":515,""eye"":518,""eyebrow"":522,""medal"":528,""necklaces"":531,""top"":538,""front face"":548,""arms"":557,""accessories"":565,""back"":570,""side face"":578}"
14476,"{""body"":492,""background"":502,""ear"":503,""nose"":513,""eye"":516,""eyebrow"":520,""medal"":527,""necklaces"":532,""top"":538,""front face"":548,""arms"":555,""accessories"":563,""back"":571,""side face"":578}"
14477,"{""body"":492,""background"":500,""ear"":503,""nose"":512,""eye"":517,""eyebrow"":522,""medal"":527,""necklaces"":530,""top"":539,""front face"":544,""arms"":555,""accessories"":565,""back"":571,""side face"":577}"
14478,"{""body"":493,""background"":502,""ear"":504,""nose"":515,""eye"":517,""eyebrow"":519,""medal"":528,""necklaces"":532,""top"":535,""front face"":548,""arms"":555,""accessories"":562,""back"":573,""side face"":575}"
14479,"{""body"":494,""background"":500,""ear"":507,""nose"":512,""eye"":517,""eyebrow"":522,""medal"":527,""necklaces"":533,""top"":538,""front face"":547,""arms"":555,""accessories"":564,""back"":571,""side face"":577}"
14480,"{""body"":494,""background"":501,""ear"":507,""nose"":514,""eye"":517,""eyebrow"":523,""medal"":524,""necklaces"":533,""top"":539,""front face"":548,""arms"":556,""accessories"":564,""back"":568,""side face"":577}"
14481,"{""body"":494,""background"":502,""ear"":510,""nose"":513,""eye"":518,""eyebrow"":521,""medal"":527,""necklaces"":533,""top"":540,""front face"":545,""arms"":557,""accessories"":562,""back"":567,""side face"":578}"
14482,"{""body"":492,""background"":502,""ear"":506,""nose"":515,""eye"":517,""eyebrow"":522,""medal"":524,""necklaces"":532,""top"":537,""front face"":548,""arms"":555,""accessories"":564,""back"":571,""side face"":578}"
14483,"{""body"":492,""background"":501,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":532,""top"":541,""front face"":547,""arms"":557,""accessories"":561,""back"":572,""side face"":577}"
14484,"{""body"":494,""background"":502,""ear"":504,""nose"":513,""eye"":516,""eyebrow"":520,""medal"":527,""necklaces"":531,""top"":541,""front face"":543,""arms"":553,""accessories"":565,""back"":567,""side face"":578}"
14485,"{""body"":494,""background"":502,""ear"":510,""nose"":511,""eye"":518,""eyebrow"":520,""medal"":528,""necklaces"":532,""top"":541,""front face"":546,""arms"":555,""accessories"":563,""back"":573,""side face"":577}"
14486,"{""body"":494,""background"":497,""ear"":510,""nose"":514,""eye"":518,""eyebrow"":519,""medal"":526,""necklaces"":531,""top"":540,""front face"":547,""arms"":555,""accessories"":563,""back"":568,""side face"":578}"
14487,"{""body"":494,""background"":501,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":523,""medal"":526,""necklaces"":530,""top"":541,""front face"":548,""arms"":556,""accessories"":563,""back"":569,""side face"":576}"
14488,"{""body"":494,""background"":502,""ear"":510,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":524,""necklaces"":533,""top"":536,""front face"":549,""arms"":553,""accessories"":559,""back"":568,""side face"":578}"
14489,"{""body"":492,""background"":501,""ear"":507,""nose"":515,""eye"":518,""eyebrow"":520,""medal"":528,""necklaces"":532,""top"":540,""front face"":547,""arms"":555,""accessories"":565,""back"":567,""side face"":574}"
14490,"{""body"":493,""background"":502,""ear"":509,""nose"":515,""eye"":518,""eyebrow"":523,""medal"":528,""necklaces"":530,""top"":541,""front face"":549,""arms"":556,""accessories"":563,""back"":570,""side face"":577}"
14491,"{""body"":491,""background"":497,""ear"":507,""nose"":514,""eye"":518,""eyebrow"":522,""medal"":528,""necklaces"":533,""top"":541,""front face"":543,""arms"":551,""accessories"":564,""back"":572,""side face"":576}"
14492,"{""body"":493,""background"":499,""ear"":510,""nose"":515,""eye"":518,""eyebrow"":520,""medal"":526,""necklaces"":531,""top"":539,""front face"":545,""arms"":557,""accessories"":563,""back"":567,""side face"":575}"
14493,"{""body"":494,""background"":497,""ear"":509,""nose"":513,""eye"":517,""eyebrow"":521,""medal"":528,""necklaces"":533,""top"":538,""front face"":548,""arms"":554,""accessories"":565,""back"":572,""side face"":575}"
14494,"{""body"":493,""background"":498,""ear"":505,""nose"":515,""eye"":518,""eyebrow"":519,""medal"":528,""necklaces"":529,""top"":540,""front face"":549,""arms"":555,""accessories"":563,""back"":571,""side face"":578}"
14495,"{""body"":491,""background"":501,""ear"":510,""nose"":513,""eye"":517,""eyebrow"":521,""medal"":526,""necklaces"":533,""top"":539,""front face"":549,""arms"":552,""accessories"":562,""back"":571,""side face"":575}"
14496,"{""body"":494,""background"":502,""ear"":510,""nose"":513,""eye"":517,""eyebrow"":521,""medal"":528,""necklaces"":533,""top"":539,""front face"":548,""arms"":556,""accessories"":561,""back"":573,""side face"":577}"
14497,"{""body"":494,""background"":502,""ear"":510,""nose"":514,""eye"":517,""eyebrow"":521,""medal"":528,""necklaces"":533,""top"":536,""front face"":549,""arms"":556,""accessories"":564,""back"":570,""side face"":578}"
14498,"{""body"":492,""background"":502,""ear"":510,""nose"":514,""eye"":518,""eyebrow"":521,""medal"":528,""necklaces"":530,""top"":541,""front face"":549,""arms"":553,""accessories"":563,""back"":571,""side face"":574}"
14499,"{""body"":493,""background"":499,""ear"":509,""nose"":514,""eye"":517,""eyebrow"":523,""medal"":526,""necklaces"":530,""top"":541,""front face"":549,""arms"":554,""accessories"":564,""back"":570,""side face"":577}"
14500,"{""body"":494,""background"":501,""ear"":507,""nose"":514,""eye"":518,""eyebrow"":522,""medal"":527,""necklaces"":532,""top"":540,""front face"":546,""arms"":552,""accessories"":561,""back"":573,""side face"":578}"
14501,"{""body"":492,""background"":502,""ear"":505,""nose"":512,""eye"":516,""eyebrow"":522,""medal"":527,""necklaces"":532,""top"":540,""front face"":549,""arms"":556,""accessories"":564,""back"":571,""side face"":576}"
14502,"{""body"":491,""background"":501,""ear"":510,""nose"":513,""eye"":516,""eyebrow"":519,""medal"":528,""necklaces"":531,""top"":535,""front face"":549,""arms"":555,""accessories"":564,""back"":572,""side face"":578}"
14503,"{""body"":492,""background"":498,""ear"":508,""nose"":512,""eye"":517,""eyebrow"":522,""medal"":525,""necklaces"":532,""top"":537,""front face"":547,""arms"":554,""accessories"":563,""back"":573,""side face"":578}"
14504,"{""body"":493,""background"":497,""ear"":509,""nose"":514,""eye"":518,""eyebrow"":523,""medal"":525,""necklaces"":530,""top"":538,""front face"":548,""arms"":557,""accessories"":562,""back"":570,""side face"":578}"
14505,"{""body"":494,""background"":497,""ear"":505,""nose"":515,""eye"":518,""eyebrow"":519,""medal"":526,""necklaces"":531,""top"":541,""front face"":542,""arms"":552,""accessories"":564,""back"":572,""side face"":575}"
14506,"{""body"":494,""background"":500,""ear"":506,""nose"":512,""eye"":518,""eyebrow"":522,""medal"":525,""necklaces"":532,""top"":539,""front face"":548,""arms"":557,""accessories"":562,""back"":573,""side face"":577}"
14507,"{""body"":494,""background"":498,""ear"":507,""nose"":515,""eye"":517,""eyebrow"":521,""medal"":528,""necklaces"":531,""top"":540,""front face"":548,""arms"":553,""accessories"":563,""back"":572,""side face"":576}"
14508,"{""body"":493,""background"":502,""ear"":510,""nose"":515,""eye"":516,""eyebrow"":522,""medal"":527,""necklaces"":533,""top"":540,""front face"":547,""arms"":554,""accessories"":563,""back"":569,""side face"":575}"
14509,"{""body"":492,""background"":502,""ear"":506,""nose"":514,""eye"":518,""eyebrow"":521,""medal"":526,""necklaces"":531,""top"":534,""front face"":546,""arms"":556,""accessories"":565,""back"":572,""side face"":578}"
